,liquid_acc_period
relative_humidity_30,-0.1867942823518813
relative_humidity_29,-0.17788253037706794
relative_humidity_27,-0.16788803675788583
relative_humidity_28,-0.166104979617062
relative_humidity_26,-0.16561517108437301
relative_humidity_19,-0.16341781980000256
relative_humidity_25,-0.16341457160848058
relative_humidity_20,-0.16122234768661994
relative_humidity_24,-0.15634935700744554
relative_humidity_16,-0.1496451945789288
relative_humidity_23,-0.14476934545435685
relative_humidity_18,-0.14460325735753288
relative_humidity_21,-0.14326883257853673
relative_humidity_22,-0.1419222540195106
relative_humidity_17,-0.14117327840859573
relative_humidity_15,-0.1394694718832543
relative_humidity_14,-0.1314797676977439
relative_humidity_13,-0.12336115150211006
cloud_cover_28,-0.12224182729627997
cloud_cover_29,-0.11966969389568324
cloud_cover_30,-0.11092387560505372
short_wave_radiation,-0.10968480712935508
short_wave_radiation_1,-0.1089344314385757
short_wave_radiation_2,-0.10859074257274291
visibility,-0.10493414068931402
short_wave_radiation_3,-0.10468276917570858
relative_humidity_12,-0.09991441171726037
short_wave_radiation_4,-0.09864056491935888
cloud_cover_25,-0.09364359761626884
cloud_cover_27,-0.09248512568249082
cloud_cover_26,-0.09197558811637345
short_wave_radiation_5,-0.08887168139275828
relative_humidity_10,-0.08376276438036645
short_wave_radiation_6,-0.0834153581561684
cloud_cover_24,-0.0815353210263979
relative_humidity_11,-0.07990706264172154
dew_point_30,-0.07977160447241993
dew_point_28,-0.07519786391794564
dew_point_29,-0.07447872322665512
short_wave_radiation_7,-0.07434089514830845
relative_humidity_9,-0.07416065918030686
relative_humidity_8,-0.06571738528598603
liquid_acc_period_30,-0.06373813330297037
short_wave_radiation_8,-0.06324984221254888
visibility_1,-0.0625095908808837
precip_acc_period_adjusted_30,-0.06240694517758257
precip_acc_period_30,-0.06240694517758257
short_wave_radiation_9,-0.05977215892509997
dew_point_27,-0.058575170536673625
short_wave_radiation_26,-0.05808368496766887
precip_acc_period_raw_30,-0.05710624023462931
short_wave_radiation_28,-0.056166989629761715
short_wave_radiation_29,-0.05608549860779051
short_wave_radiation_27,-0.05509833094326213
short_wave_radiation_25,-0.054046235472610504
long_wave_radiation_29,-0.05393606548812638
short_wave_radiation_10,-0.05370511067727201
cloud_cover_23,-0.05302473161958742
long_wave_radiation_28,-0.052561509916670565
short_wave_radiation_24,-0.05238196354422404
short_wave_radiation_30,-0.05223243299273008
short_wave_radiation_23,-0.049961746444544194
dew_point_26,-0.049314396999926235
long_wave_radiation_30,-0.048118117844212854
relative_humidity_7,-0.04696044561339135
liquid_acc_period_29,-0.04513184410730277
snow_acc_period_8,-0.04394070375877006
short_wave_radiation_22,-0.04392486943281281
dew_point_25,-0.04378288040926072
cloud_cover_20,-0.041427813190614685
precip_acc_period_adjusted_29,-0.041335970099205144
precip_acc_period_29,-0.041335970099205144
relative_humidity_5,-0.0390144051427242
short_wave_radiation_11,-0.03833528959984894
snow_acc_period_7,-0.03800533788983854
relative_humidity_6,-0.03761043443306785
cloud_cover_21,-0.037317865156297356
cloud_cover_22,-0.0364938178877021
dew_point_24,-0.03497343425423832
precip_acc_period_raw_29,-0.033825710104558905
snow_acc_period_10,-0.0336458163772052
snow_acc_period_9,-0.03269747890530111
relative_humidity_4,-0.029499426442005403
liquid_acc_period_28,-0.028902743783168417
relative_humidity_3,-0.02761459768323634
long_wave_radiation_27,-0.026189650042092717
snow_acc_period_6,-0.024337011242545538
precip_acc_period_28,-0.022833593049654467
precip_acc_period_adjusted_28,-0.022833593049654467
short_wave_radiation_21,-0.02118247113360317
wind_direction_8,-0.01950113208371008
long_wave_radiation_25,-0.018735429573162668
short_wave_radiation_12,-0.018603705527698352
wind_direction_7,-0.017627906897648624
long_wave_radiation_26,-0.01704616885298721
wind_direction_5,-0.014338048908998566
wind_direction_6,-0.01376186835053049
dew_point_23,-0.012266688126246364
visibility_2,-0.01076940960104096
liquid_acc_period_27,-0.010151272095719982
precip_acc_period_raw_28,-0.008711583464728062
short_wave_radiation_14,-0.006947295766014108
cloud_cover_19,-0.006577889005118658
wind_direction_4,-0.004806526778277866
precip_acc_period_27,-0.00427470676512166
precip_acc_period_adjusted_27,-0.00427470676512166
wind_direction_9,-0.004016372499042626
short_wave_radiation_15,-0.003090467725134723
short_wave_radiation_13,-0.0029967435976652737
relative_humidity_2,-0.00012433310085959345
long_wave_radiation_24,-4.18375518202731e-06
dew_point_22,0.0017193511554877167
wind_direction_3,0.004233266177541067
wind_direction_10,0.009019177462400503
short_wave_radiation_20,0.009231732924590723
snow_acc_period_11,0.01168094030230604
precip_acc_period_raw_27,0.011777664110120923
wind_direction_2,0.012061912792745284
snow_acc_period_5,0.012577378708583385
short_wave_radiation_16,0.013877338441619886
dew_point_21,0.015208353546906745
cloud_cover_18,0.015547481077894975
wind_direction_11,0.020769079193441838
short_wave_radiation_17,0.022353041062330364
wind_direction_28,0.022852284280933065
precip_acc_period_18,0.023411814099643363
precip_acc_period_adjusted_18,0.023411814099643363
wind_direction_1,0.024292679122274497
air_temp_28,0.024321573334672848
snow_acc_period_4,0.024952946812086874
