,air_temp,cloud_cover,dew_point,ice_acc_period,liquid_acc_period,long_wave_radiation,precip_acc_period,precip_acc_period_adjusted,precip_acc_period_raw,relative_humidity,short_wave_radiation,snow_acc_period,u_wind_speed,v_wind_speed,visibility,wind_direction,wind_speed,wind_speed_2m
2018-11-01 00:00:00,37.0,4.0,36.0,0.0,0.0,270.0,0.0,0.0,0.0,94.0,0.0,0.0,2.9,-2.2,10.0,308.0,4.0,3.0
2018-11-01 01:00:00,36.0,71.4,35.0,0.0,0.0,268.0,0.0,0.0,0.0,95.0,0.0,0.0,1.9,-3.5,10.0,331.0,4.0,3.0
2018-11-01 02:00:00,37.0,71.3,37.0,0.0,0.0,270.0,0.0,0.0,0.0,100.0,0.0,0.0,2.4,-4.8,10.0,333.0,5.0,4.0
2018-11-01 03:00:00,36.0,18.8,36.0,0.0,0.0,273.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,-5.7,10.0,350.0,6.0,4.0
2018-11-01 04:00:00,34.0,22.2,34.0,0.0,0.0,269.0,0.0,0.0,0.0,100.0,0.0,0.0,-1.1,-1.8,5.0,30.0,2.0,2.0
2018-11-01 05:00:00,34.0,25.8,34.0,0.0,0.0,271.0,0.0,0.0,0.0,100.0,0.0,0.0,2.2,-6.5,10.0,341.0,7.0,5.0
2018-11-01 06:00:00,35.0,4.1,35.0,0.0,0.0,274.0,0.0,0.0,0.0,100.0,0.0,0.0,2.2,-5.1,10.0,336.0,6.0,4.0
2018-11-01 07:00:00,36.0,52.1,36.0,0.0,0.0,281.0,0.0,0.0,0.0,100.0,38.0,0.0,2.9,-5.0,10.0,330.0,6.0,4.0
2018-11-01 08:00:00,37.0,91.0,37.0,0.0,0.0,289.0,0.0,0.0,0.0,100.0,126.0,0.0,1.6,-5.8,10.0,345.0,6.0,5.0
2018-11-01 09:00:00,39.0,95.0,39.0,0.0,0.0,300.0,0.0,0.0,0.0,100.0,139.0,0.0,5.8,5.6,10.0,226.0,8.0,6.0
2018-11-01 10:00:00,42.0,81.4,42.0,0.0,0.002,300.0,0.001,0.001,0.002,99.0,173.0,0.0,5.7,2.5,10.0,246.0,6.0,5.0
2018-11-01 11:00:00,44.0,89.4,42.0,0.0,0.0,302.0,0.0,0.0,0.0,92.0,204.0,0.0,3.0,-0.9,10.0,288.0,3.0,2.0
2018-11-01 12:00:00,47.0,58.8,44.0,0.0,0.0,304.0,0.0,0.0,0.0,91.0,268.0,0.0,9.7,4.9,10.0,243.0,11.0,8.0
2018-11-01 13:00:00,50.0,26.0,44.0,0.0,0.0,305.0,0.0,0.0,0.0,80.0,281.0,0.0,5.3,5.4,10.0,225.0,8.0,6.0
2018-11-01 14:00:00,54.0,20.9,44.0,0.0,0.0,308.0,0.0,0.0,0.0,68.0,206.0,0.0,1.0,-1.9,10.0,333.0,2.0,2.0
2018-11-01 15:00:00,55.0,43.6,46.0,0.0,0.0,302.0,0.0,0.0,0.0,74.0,95.0,0.0,2.8,0.5,10.0,260.0,3.0,2.0
2018-11-01 16:00:00,50.0,27.6,44.0,0.0,0.0,296.0,0.0,0.0,0.0,81.0,5.0,0.0,0.4,-0.8,10.0,333.0,1.0,1.0
2018-11-01 17:00:00,46.0,82.6,44.0,0.0,0.0,291.0,0.0,0.0,0.0,92.0,0.0,0.0,0.2,-1.0,10.0,350.0,1.0,1.0
2018-11-01 18:00:00,44.0,80.9,43.0,0.0,0.02,290.0,0.02,0.02,0.02,98.0,0.0,0.0,0.4,-2.1,10.0,349.0,2.0,2.0
2018-11-01 19:00:00,47.0,84.3,46.0,0.0,0.002,304.0,0.002,0.002,0.002,96.0,0.0,0.0,1.9,4.7,10.0,202.0,5.0,4.0
2018-11-01 20:00:00,48.0,78.2,46.0,0.0,0.0,312.0,0.0,0.0,0.0,94.0,0.0,0.0,-0.0,1.0,10.0,179.0,1.0,1.0
2018-11-01 21:00:00,51.0,70.3,46.0,0.0,0.0,320.0,0.0,0.0,0.0,82.0,0.0,0.0,7.2,10.8,10.0,214.0,13.0,10.0
2018-11-01 22:00:00,50.0,23.2,46.0,0.0,0.0,322.0,0.0,0.0,0.0,86.0,0.0,0.0,5.4,10.1,10.0,208.0,11.0,9.0
2018-11-01 23:00:00,48.0,18.1,44.0,0.0,0.0,316.0,0.0,0.0,0.0,86.0,0.0,0.0,5.4,3.6,10.0,236.0,7.0,5.0
